"Table B2 â€“ CPI headline year-on-year rates3","","","","","","","","","","","","",""
"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Average"
"1911","","","","","","","","","","","","","5,2"
"1912","","","","","","","","","","","","","3,4"
"1913","","","","","","","","","","","","","1,1"
"1914","","","","","","","","","","","","","-0,7"
"1915","","","","","","","","","","","","","5,0"
"1916","","","","","","","","","","","","","6,2"
"1917","","","","","","","","","","","","","9,7"
"1918","","","","","","","","","","","","","6,8"
"1919","","","","","","","","","","","","","10,6"
"1920","","","","","","","","","","","","","23,9"
"1921","","","","","","","","","","","","","-9,5"
"1922","-23,7","-23,0","-21,8","-20,3","-19,6","-15,7","-15,1","-14,2","-12,8","-11,8","-10,9","-6,0","-16,6"
"1923","-5,3","-4,6","-4,0","-4,8","-4,2","-3,4","-3,3","-3,5","-1,6","-0,7","-0,2","0,7","-3,0"
"1924","1,1","1,9","2,7","2,7","2,1","1,5","1,2","1,5","0,8","0,3","0,2","0,5","1,4"
"1925","-0,1","-0,7","-0,9","-0,1","0,0","0,6","0,7","0,4","0,0","-0,7","-1,9","-1,9","-0,4"
"1926","-1,6","-1,3","-1,4","-2,0","-1,8","-2,2","-2,2","-1,9","-1,4","-0,7","-0,4","-1,0","-1,5"
"1927","-0,5","-0,5","-0,4","-0,1","0,2","1,3","1,5","1,1","0,6","0,6","0,7","2,0","0,6"
"1928","1,4","0,8","1,0","0,9","0,7","-0,5","-0,7","-0,5","-0,1","-0,7","-0,2","-0,7","0,0"
"1929","-0,8","-0,4","-0,4","-0,1","-0,2","0,2","0,3","0,0","0,0","-0,3","-1,0","-1,2","-0,3"
"1930","-1,2","-1,5","-2,0","-2,2","-2,2","-2,0","-2,3","-2,4","-3,5","-3,1","-2,7","-2,8","-2,3"
"1931","-2,7","-2,8","-3,7","-4,0","-3,7","-4,7","-4,0","-4,0","-3,4","-3,4","-3,7","-4,2","-3,7"
"1932","-4,6","-4,1","-3,9","-4,3","-4,7","-4,4","-4,7","-4,7","-4,5","-4,7","-4,5","-5,0","-4,4"
"1933","-6,4","-6,2","-5,1","-4,3","-3,9","-2,6","-2,3","-2,2","-1,4","0,1","1,0","2,5","-2,7"
"1934","3,3","2,9","2,6","2,5","2,4","1,4","1,4","1,8","1,0","0,0","-1,2","-1,5","1,4"
"1935","-0,3","-0,1","-0,4","-0,5","-0,5","0,0","-0,4","-0,8","-0,7","-1,5","-0,8","-0,4","-0,5"
"1936","0,0","-0,2","0,0","0,1","0,1","0,0","0,1","0,2","0,4","0,8","1,2","1,0","0,3"
"1937","0,5","0,6","1,5","1,3","1,4","1,9","2,3","2,9","3,3","3,7","3,7","5,6","2,3"
"1938","6,0","5,8","5,1","4,9","4,9","4,0","3,5","3,1","2,7","2,3","1,5","-0,3","3,6"
"1939","-0,8","-0,6","-0,1","0,2","-0,1","-0,3","-0,1","-0,3","-0,2","-0,1","0,5","0,8","-0,1"
"1940","1,7","2,3","2,1","2,3","3,0","3,6","4,0","4,2","4,8","5,5","4,4","4,0","3,5"
"1941","3,8","3,3","3,8","4,2","4,2","4,4","5,7","5,2","4,8","4,4","5,7","5,9","4,6"
"1942","8,1","8,5","8,2","7,8","8,3","9,0","7,9","8,1","8,5","8,9","8,8","8,7","8,4"
"1943","6,7","6,7","6,6","6,6","6,9","5,9","5,6","6,5","6,3","5,4","4,5","5,0","6,1"
"1944","4,4","4,3","4,6","4,8","3,5","3,7","3,0","1,7","1,7","3,4","4,1","3,9","3,5"
"1945","4,0","3,3","2,8","2,4","2,7","2,5","3,5","3,5","3,0","1,8","1,1","0,9","2,6"
"1946","1,0","1,7","2,0","2,0","1,5","1,7","0,4","0,9","1,1","1,4","1,9","2,0","1,4"
"1947","1,9","2,7","3,0","3,3","3,9","4,4","5,5","5,6","5,6","4,9","4,3","4,7","4,2"
"1948","4,8","3,8","4,3","4,2","4,9","5,2","6,6","6,3","7,3","7,8","7,6","6,3","5,8"
"1949","6,6","6,5","5,2","5,4","5,1","4,2","2,1","2,6","1,6","1,0","1,5","2,7","3,7"
"1950","2,4","2,5","2,9","2,8","3,2","4,1","4,3","3,5","3,5","5,7","5,8","7,1","4,0"
"1951","7,0","7,0","7,1","7,4","7,0","6,6","7,8","8,4","8,4","6,3","6,7","8,7","7,3"
"1952","9,7","9,3","8,7","8,4","7,7","7,9","7,1","7,7","10,4","11,0","10,4","6,2","8,7"
"1953","4,4","3,8","4,0","3,8","3,9","4,6","4,5","5,7","3,3","2,6","1,1","0,7","3,5"
"1954","1,8","2,2","2,4","2,6","2,1","1,0","1,2","-0,3","1,0","1,3","3,0","4,0","1,8"
"1955","3,6","3,8","4,0","3,5","3,1","3,1","3,9","3,2","2,5","3,0","2,1","1,9","3,2"
"1956","1,7","2,0","1,6","2,0","2,5","2,4","2,2","1,9","1,5","1,2","1,8","1,9","1,9"
"1957","2,5","2,0","1,9","1,5","1,8","1,8","2,0","4,8","4,9","4,7","3,9","3,8","3,0"
"1958","4,0","3,9","4,2","4,6","4,3","4,2","4,4","2,7","2,0","2,0","2,7","3,1","3,5"
"1959","2,3","1,9","1,8","1,4","1,5","1,6","0,6","0,3","0,5","0,6","0,8","0,7","1,2"
"1960","0,8","1,1","1,0","1,4","1,4","1,3","1,6","1,8","1,5","1,4","1,3","1,6","1,4"
"1961","1,6","1,6","1,7","1,7","2,0","1,8","1,9","2,0","2,2","2,2","2,4","2,0","1,9"
"1962","1,6","1,4","1,5","1,6","1,8","1,6","1,8","1,3","1,4","1,3","1,2","1,0","1,5"
"1963","1,9","1,8","1,6","1,1","0,4","0,7","0,7","1,6","1,5","1,5","1,1","1,5","1,2"
"1964","0,9","1,2","1,6","2,1","2,1","2,3","2,8","2,5","3,1","3,2","4,0","4,1","2,4"
"1965","4,0","4,0","3,9","3,9","4,1","4,0","4,2","3,8","2,8","3,2","2,9","2,9","3,6"
"1966","3,3","3,6","3,2","3,4","3,0","3,3","2,7","3,0","4,5","4,3","4,6","4,3","3,6"
"1967","4,0","3,9","3,9","3,8","4,2","4,0","3,9","4,3","2,9","2,3","1,7","1,8","3,4"
"1968","1,7","1,8","1,7","1,5","1,3","1,1","1,5","1,2","1,7","2,0","2,7","2,7","1,7"
"1969","2,8","2,5","2,8","2,9","3,4","3,2","2,6","2,0","2,0","3,9","3,5","3,7","3,0"
"1970","3,6","3,9","4,1","5,6","5,4","5,8","6,1","6,4","6,6","5,3","5,1","5,0","5,3"
"1971","5,4","5,2","5,4","5,2","5,7","6,1","6,3","6,3","6,3","6,5","6,8","6,9","6,0"
"1972","6,7","7,0","6,7","5,5","5,7","5,4","5,7","6,4","7,2","7,3","7,0","7,3","6,5"
"1973","8,3","8,9","9,9","10,2","9,9","10,0","9,8","9,3","8,9","9,3","10,2","10,0","9,5"
"1974","8,9","9,4","9,7","9,6","9,7","11,2","12,0","13,2","13,8","13,6","13,6","14,1","11,6"
